time_ISO	occupancy	number_date_hour	day_text	hour	time_HH_MM
2026-01-16T14:56:35.909906+01:00	29	46038,62263	Pá	14	14:56
2026-01-16T15:22:26.177894+01:00	27	46038,64058	Pá	15	15:22
2026-01-16T15:46:03.481780+01:00	25	46038,65698	Pá	15	15:46
2026-01-16T15:59:59.554369+01:00	25	46038,66666	Pá	15	15:59
2026-01-16T16:32:29.009097+01:00	24	46038,68922	Pá	16	16:32
2026-01-16T16:50:05.381319+01:00	25	46038,70145	Pá	16	16:50
2026-01-16T17:00:10.806526+01:00	26	46038,70845	Pá	17	17:00
2026-01-16T17:39:58.709475+01:00	21	46038,73609	Pá	17	17:39
2026-01-16T17:59:53.187842+01:00	27	46038,74992	Pá	17	17:59
2026-01-16T18:30:56.312269+01:00	30	46038,77148	Pá	18	18:30
2026-01-16T18:49:53.914279+01:00	29	46038,78464	Pá	18	18:49
2026-01-16T18:58:34.242171+01:00	30	46038,79067	Pá	18	18:58
2026-01-16T19:38:37.716551+01:00	30	46038,81848	Pá	19	19:38
2026-01-16T20:00:08.450285+01:00	30	46038,83343	Pá	20	20:00
2026-01-16T20:25:29.309046+01:00	27	46038,85103	Pá	20	20:25
2026-01-16T20:36:49.300872+01:00	24	46038,8589	Pá	20	20:36
2026-01-16T20:45:53.210949+01:00	14	46038,8652	Pá	20	20:45
2026-01-16T20:54:51.345024+01:00	9	46038,87142	Pá	20	20:54
2026-01-16T21:16:51.257701+01:00	0	46038,8867	Pá	21	21:16
2026-01-17T08:15:46.888428+01:00	0	46039,34428	So	8	08:15
2026-01-17T08:32:19.697718+01:00	0	46039,35578	So	8	08:32
2026-01-17T08:43:34.334691+01:00	0	46039,36359	So	8	08:43
2026-01-17T08:52:14.094984+01:00	0	46039,36961	So	8	08:52
2026-01-17T09:11:57.935099+01:00	5	46039,3833	So	9	09:11
2026-01-17T09:41:05.374878+01:00	12	46039,40353	So	9	09:41
2026-01-17T09:55:42.768322+01:00	13	46039,41368	So	9	09:55
2026-01-17T10:17:13.827059+01:00	13	46039,42862	So	10	10:17
2026-01-17T10:35:14.190145+01:00	13	46039,44113	So	10	10:35
2026-01-17T10:46:48.579202+01:00	11	46039,44917	So	10	10:46
2026-01-17T10:54:57.211244+01:00	13	46039,45483	So	10	10:54
2026-01-17T11:15:12.714668+01:00	13	46039,46889	So	11	11:15
2026-01-17T11:37:58.330494+01:00	22	46039,4847	So	11	11:37
2026-01-17T11:50:40.591962+01:00	24	46039,49352	So	11	11:50
2026-01-17T11:59:02.727558+01:00	27	46039,49933	So	11	11:59
2026-01-17T12:21:29.538144+01:00	29	46039,51492	So	12	12:21
2026-01-17T12:32:28.615392+01:00	30	46039,52255	So	12	12:32
2026-01-17T12:43:16.648843+01:00	29	46039,53005	So	12	12:43
2026-01-17T12:52:07.895699+01:00	23	46039,53619	So	12	12:52
2026-01-17T13:01:06.767750+01:00	21	46039,54243	So	13	13:01
2026-01-17T13:56:16.422677+01:00	12	46039,58074	So	13	13:56
2026-01-17T14:27:23.064296+01:00	23	46039,60235	So	14	14:27
2026-01-17T14:45:40.246539+01:00	23	46039,61505	So	14	14:45
2026-01-17T14:54:37.516365+01:00	24	46039,62126	So	14	14:54
2026-01-17T15:13:39.984994+01:00	27	46039,63448	So	15	15:13
2026-01-17T15:34:22.626378+01:00	29	46039,64887	So	15	15:34
2026-01-17T15:47:17.164720+01:00	30	46039,65784	So	15	15:47
2026-01-17T15:55:32.211981+01:00	25	46039,66356	So	15	15:55
2026-01-17T16:16:19.440866+01:00	21	46039,678	So	16	16:16
2026-01-17T16:33:54.616201+01:00	24	46039,69021	So	16	16:33
2026-01-17T16:45:55.673348+01:00	24	46039,69855	So	16	16:45
2026-01-17T16:54:54.817896+01:00	24	46039,70479	So	16	16:54
2026-01-17T17:17:13.953855+01:00	25	46039,72029	So	17	17:17
2026-01-17T17:41:29.702419+01:00	26	46039,73714	So	17	17:41
2026-01-17T17:53:44.266935+01:00	29	46039,74565	So	17	17:53
2026-01-17T18:10:45.442586+01:00	30	46039,75747	So	18	18:10
2026-01-17T18:30:41.581585+01:00	29	46039,77131	So	18	18:30
2026-01-17T18:43:50.014156+01:00	27	46039,78044	So	18	18:43
2026-01-17T18:52:14.423292+01:00	30	46039,78627	So	18	18:52
2026-01-17T19:01:24.398326+01:00	27	46039,79264	So	19	19:01
2026-01-17T19:39:21.259752+01:00	19	46039,81899	So	19	19:39
2026-01-17T19:54:53.069018+01:00	12	46039,82978	So	19	19:54
2026-01-17T20:12:01.003827+01:00	6	46039,84168	So	20	20:12
2026-01-17T20:27:19.692126+01:00	0	46039,8523	So	20	20:27
2026-01-17T20:37:49.913923+01:00	0	46039,85959	So	20	20:37
2026-01-17T20:46:41.452674+01:00	0	46039,86575	So	20	20:46
2026-01-17T20:54:53.427714+01:00	0	46039,87145	So	20	20:54
2026-01-17T21:16:47.611938+01:00	0	46039,88666	So	21	21:16
2026-01-18T08:16:50.179088+01:00	0	46040,34502	Ne	8	08:16
2026-01-18T08:33:25.605794+01:00	0	46040,35654	Ne	8	08:33
2026-01-18T08:44:28.433454+01:00	0	46040,36421	Ne	8	08:44
2026-01-18T08:53:22.372349+01:00	0	46040,37039	Ne	8	08:53
2026-01-18T09:15:39.025795+01:00	13	46040,38587	Ne	9	09:15
2026-01-18T09:43:15.505445+01:00	23	46040,40503	Ne	9	09:43
2026-01-18T09:56:41.419495+01:00	23	46040,41436	Ne	9	09:56
2026-01-18T10:20:00.721261+01:00	20	46040,43056	Ne	10	10:20
2026-01-18T10:37:53.594429+01:00	19	46040,44297	Ne	10	10:37
2026-01-18T10:48:37.160794+01:00	15	46040,45043	Ne	10	10:48
2026-01-18T10:57:03.210531+01:00	12	46040,45628	Ne	10	10:57
2026-01-18T11:21:36.760026+01:00	15	46040,47333	Ne	11	11:21
2026-01-18T11:41:42.492313+01:00	13	46040,48729	Ne	11	11:41
2026-01-18T11:52:22.243606+01:00	13	46040,4947	Ne	11	11:52
2026-01-18T12:07:36.013826+01:00	13	46040,50528	Ne	12	12:07
2026-01-18T12:25:57.971694+01:00	18	46040,51802	Ne	12	12:25
